id,titulo,genero,classificacao_etaria,nota,ano,duracao,pais,sinopse
205,"Os Mortos Não Morrem",Comédia,14,5.9,2019,"Mais de 90 min",Austrália,"Em uma pequena cidade, zumbis se levantam e uma família precisa lutar pela sobrevivência em meio ao caos."
207,"A Dama de Ferro",Biografia,12,6.4,2011,"Mais de 90 min","Reino Unido","A vida da ex-primeira-ministra britânica Margaret Thatcher, suas conquistas e as batalhas que travou ao longo de sua vida."
210,"O Jogo da Imitação",Biografia,12,8.0,2014,"Mais de 90 min","Reino Unido","Um matemático britânico ajuda a decifrar os códigos nazistas durante a Segunda Guerra Mundial, mudando o curso da história."
211,Trainspotting,Romance,18,8.1,1996,"Mais de 90 min","Reino Unido","Um grupo de amigos se vê em uma espiral de dependência e autodestruição enquanto tenta encontrar um propósito na vida."
212,"A Garota Dinamarquesa",Romance,14,7.1,2015,"Mais de 90 min","Reino Unido","Uma jovem dinamarquesa vive uma vida dupla como mulher transgênero em um mundo conservador e enfrenta os desafios de sua identidade."
213,"Ex Machina",Ação,16,7.7,2014,"Mais de 90 min","Reino Unido","Um programador é convidado para administrar um teste de Turing em uma inteligência artificial avançada, revelando segredos obscuros."
215,"Bastardos Inglórios",Ação,18,8.3,2009,"Mais de 90 min","Reino Unido","Um grupo de soldados durante a Segunda Guerra Mundial busca vingança contra os nazistas e desafia as probabilidades."
216,Amélie,Comédia,10,8.3,2001,"Até 90 min",França,"A vida de uma jovem mulher que trabalha em um café em Paris e sonha em se tornar uma cineasta, entrelaçando magia e romance."
217,"O Fabuloso Destino de Amélie Poulain",Romance,10,8.3,2001,"Mais de 90 min",França,"Amélie Poulain, uma jovem solitária, decide mudar a vida das pessoas ao seu redor, trazendo felicidade e amor à sua vida e à vida dos outros."
218,"Os Intocáveis",Romance,14,8.5,2011,"Mais de 90 min",França,"A história de um policial e um mafioso que se unem para desmantelar um império do crime em Chicago."
219,"O Pianista",Romance,18,8.5,2002,"Mais de 90 min",França,"Um pianista judeu luta pela sobrevivência em Varsóvia durante a ocupação nazista, tocando música para se manter vivo."
220,"A Vida é Bela",Romance,10,8.6,1997,"Mais de 90 min",França,"Um homem é levado em uma jornada de sobrevivência em tempos de guerra, relembrando os momentos felizes da vida enquanto enfrenta o desespero."
221,"O Código Da Vinci",Ação,14,6.6,2006,"Mais de 90 min",França,"Um simbologista é chamado para desvendar um mistério envolvendo um segredo milenar dentro do Museu do Louvre."
222,"A Fonte da Donzela",Romance,12,7.6,2006,"Mais de 90 min",França,"Uma jovem mulher busca a verdade por trás da lenda de uma fonte mágica que pode transformar a vida."
223,"O Mecanismo",Romance,14,7.8,2018,"Mais de 90 min",França,"A investigação de um escândalo de corrupção e seus impactos na sociedade brasileira, revelando os meandros do sistema político."
224,"As Férias de M. Hulot",Comédia,0,7.8,1953,"Até 90 min",França,"Um personagem excêntrico embarca em uma jornada de férias, trazendo risos e confusões por onde passa."
225,"O Lobo de Wall Street",Comédia,16,8.2,2013,"Mais de 90 min",França,"Um corretor de ações de Wall Street vive excessivamente e enfrenta as consequências de seus atos em um mundo de avareza e corrupção."
226,"Dilwale Dulhania Le Jayenge",Romance,10,8.1,1995,"Mais de 90 min",Índia,"Um amor épico floresce entre um indiano e uma mulher ocidental durante um casamento tradicional na Índia."
227,"3 Idiots",Comédia,10,8.4,2009,"Mais de 90 min",Índia,"Um grupo de amigos se questiona sobre a vida e a educação em uma sociedade que valoriza a mediocridade."
228,"Baahubali: A Início",Ação,12,8.0,2015,"Mais de 90 min",Índia,"Um épico indiano sobre a luta de um príncipe para recuperar seu reino e sua amada em um mundo repleto de mitos e lendas."
229,Lagaan,Romance,10,8.1,2001,"Mais de 90 min",Índia,"Um grupo de camponeses se une para desafiar um imposto injusto imposto por um governante opressor em busca de justiça."
230,Dangal,Romance,10,8.8,2016,"Mais de 90 min",Índia,"Um pai luta para garantir um futuro melhor para sua filha ao se esforçar para criar um programa de luta livre na Índia."
231,"Chennai Express",Ação,10,6.0,2013,"Mais de 90 min",Índia,"Um jovem casal enfrenta desafios e aventuras enquanto viajam de trem por toda a Índia em busca do amor e da liberdade."
232,"Kabir Singh",Romance,18,7.1,2019,"Mais de 90 min",Índia,"Um homem enfrenta suas emoções ao se apaixonar por uma mulher, apenas para descobrir que a vida nem sempre é fácil."
233,PK,Comédia,10,8.1,2014,"Mais de 90 min",Índia,"Um homem se vê em situações engraçadas e inesperadas enquanto busca a verdade sobre a vida e a morte."
234,Queen,Comédia,12,8.2,2014,"Mais de 90 min",Índia,"Uma mulher enfrenta suas próprias inseguranças e desafios enquanto busca sua verdadeira identidade e independência."
235,"Zindagi Na Milegi Dobara",Comédia,10,8.1,2011,"Mais de 90 min",Índia,"Um grupo de amigos decide aproveitar a vida ao máximo em uma viagem memorável pelo deserto da Espanha."
236,Tenet,Ação,13,7.4,2020,"Mais de 90 min",EUA,"Um agente do tempo precisa resolver um mistério que pode alterar o curso da história e a realidade como a conhecemos."
237,"A Mulher na Janela",Terror,16,5.7,2021,"Mais de 90 min",EUA,"Uma mulher agorafóbica espia seus vizinhos e acaba se envolvendo em um mistério de assassinato."
238,Duna,Ação,12,8.0,2021,"Mais de 90 min",EUA,"Em um futuro distante, um herói relutante deve enfrentar uma força obscura para salvar a humanidade."
239,"Os Eternos",Ação,12,6.3,2021,"Mais de 90 min",EUA,"Um grupo de super-heróis se une para proteger o universo de uma ameaça cósmica."
240,"Um Lugar Silencioso – Parte II",Terror,14,7.2,2021,"Mais de 90 min",EUA,"Uma continuação onde a luta pela sobrevivência continua em um mundo repleto de perigos e mistérios."
241,"Sonic: O Filme",Ação,10,6.5,2020,"Mais de 90 min",EUA,"Sonic, o ouriço mais rápido do mundo, une forças com novos amigos para enfrentar um novo inimigo."
242,"Ghostbusters: Mais Além",Ação,10,7.5,2021,"Mais de 90 min",EUA,"Um grupo de caçadores de fantasmas se une para proteger sua cidade de uma nova ameaça sobrenatural."
243,"A Liga da Justiça de Zack Snyder",Ação,14,8.1,2021,"Mais de 90 min",EUA,"Os heróis da Liga da Justiça precisam enfrentar um novo vilão em uma batalha épica pelo destino do mundo."
244,Encanto,Animação,0,7.2,2021,"Mais de 90 min",EUA,"Uma família colombiana descobre que possui poderes mágicos e deve salvar sua casa e sua magia."
245,"O Esquadrão Suicida",Ação,16,7.2,2021,"Mais de 90 min",EUA,"Um grupo de vilões se une para enfrentar um novo perigo que ameaça sua existência."
246,"O Homem do Norte",Ação,16,7.2,2022,"Mais de 90 min",EUA,"Um príncipe nórdico busca vingar a morte de seu pai enquanto descobre verdades sombrias sobre seu passado."
247,"Top Gun: Maverick",Ação,12,8.3,2022,"Mais de 90 min",EUA,"Um piloto da Marinha dos EUA retorna ao serviço e enfrenta um novo desafio nos céus."
248,Morbious,Ação,14,5.2,2022,"Mais de 90 min",EUA,"Um anti-herói se transforma em um vilão em busca de vingança e redenção em uma cidade em ruínas."
249,Batman,Ação,14,8.3,2022,"Mais de 90 min",EUA,"Um vigilante mascarado luta contra o crime em Gotham City enquanto enfrenta seu maior rival."
250,"Jurassic World: Domínio",Ação,12,6.2,2022,"Mais de 90 min",EUA,"Dinossauros voltam a dominar a Terra e os humanos precisam encontrar uma maneira de coexistir."
251,"Avatar: O Caminho da Água",Ação,12,8.1,2022,"Mais de 90 min",EUA,"Uma sequência de aventuras épicas em Pandora, onde novas ameaças e alianças são formadas."
252,"O Menu",Comédia,14,7.0,2022,"Mais de 90 min",EUA,"Um chef talentoso busca a verdadeira essência de seus pratos enquanto enfrenta desafios culinários."
253,M3GAN,Terror,14,6.4,2023,"Mais de 90 min",EUA,"Um robô com inteligência artificial luta por liberdade e busca compreender o que significa ser humano."
254,"O Último Guardião da Terra",Ação,12,7.1,2023,"Mais de 90 min",EUA,"Um jovem guarda a Terra de forças malignas em uma batalha épica pela sobrevivência."
255,"John Wick: Capítulo 4",Ação,18,8.4,2023,"Mais de 90 min",EUA,"John Wick, um ex-assassino, é forçado a voltar à ação para enfrentar uma nova ameaça que o persegue em todo o mundo."
256,"Guardians of the Galaxy Vol. 3",Ação,12,8.1,2023,"Mais de 90 min",EUA,"Os Guardiões da Galáxia se reúnem novamente para proteger um novo amigo e enfrentar um inimigo do passado."
257,Barbie,Comédia,10,7.0,2023,"Mais de 90 min",EUA,"Uma jovem se embarca em uma jornada de autodescoberta e empoderamento ao viver em um mundo cor-de-rosa."
258,Oppenheimer,Romance,14,8.4,2023,"Mais de 90 min",EUA,"A história de J. Robert Oppenheimer e seu papel no desenvolvimento da bomba atômica durante a Segunda Guerra Mundial."
259,"Duna: Parte Dois",Ação,12,8.5,2024,"Mais de 90 min",EUA,"A continuação épica da luta de Paul Atreides e seu destino em um universo cheio de intrigas e traições."
260,"Spider-Man: Beyond the Spider-Verse",Animação,0,9.0,2024,"Mais de 90 min",EUA,"Peter Parker enfrenta novas dimensões e vilões em uma jornada emocionante pelo multiverso."
261,"Deadpool 3",Ação,16,8.5,2024,"Mais de 90 min",EUA,"Deadpool retorna com mais humor e ação, enfrentando novos desafios e antigos inimigos."
262,Furiosa,Ação,14,7.9,2024,"Mais de 90 min",EUA,"Furiosa, uma guerreira forte, luta para encontrar sua própria identidade em um mundo pós-apocalíptico."
263,"A Vila das Sombras",Terror,16,6.5,2024,"Mais de 90 min",EUA,"Uma jovem se muda para uma vila misteriosa onde segredos sombrios e eventos sobrenaturais a cercam."
264,Soul,Animação,0,8.0,2020,"Mais de 90 min",EUA,"Uma jornada emocional através da vida e morte, enquanto uma alma busca entender o verdadeiro significado da vida."
265,"A Voz do Coração",Romance,12,7.4,2021,"Mais de 90 min",EUA,"Um cantor famoso enfrenta os desafios da fama e descobre o verdadeiro significado do amor e da conexão."
266,"Cá Entre Nós",Comédia,10,6.8,2021,"Até 90 min",Brasil,"Três amigos enfrentam segredos e revelações enquanto tentam entender seu lugar no mundo."
267,"O Poder do Dog",Romance,16,7.0,2021,"Mais de 90 min",EUA,"Um cowboy e um pastor lutam para proteger sua propriedade e suas famílias de ameaças externas."
268,"O Último Duelo",Ação,16,7.7,2021,"Mais de 90 min",EUA,"Duas partes de um duelo se confrontam em um jogo de vida ou morte, onde o passado e o presente se entrelaçam."
269,"Os Croods 2: Uma Nova Era",Animação,0,7.0,2020,"Mais de 90 min",EUA,"Os Croods enfrentam novos desafios e aventuras em um mundo desconhecido."
270,"A Quiet Place Part II",Terror,14,7.2,2021,"Mais de 90 min",EUA,"A sequência de “Um Lugar Silencioso” explora o que acontece com a família após a luta pela sobrevivência em silêncio."
271,"Free Guy",Ação,12,7.1,2021,"Mais de 90 min",EUA,"Um funcionário de um videogame descobre que sua vida é um jogo e decide tomar o controle de seu destino."
272,Spencer,Romance,14,7.2,2021,"Mais de 90 min",EUA,"Uma reinterpretação moderna da vida da Princesa Diana, explorando seus desafios pessoais e públicos."
273,Cinderella,Romance,10,5.6,2021,"Mais de 90 min",EUA,"Uma jovem encontra o amor em um mundo cheio de obstáculos e incertezas."
274,"Marry Me",Romance,10,6.1,2022,"Mais de 90 min",EUA,"Um casal tenta superar suas diferenças enquanto navega em um mundo de expectativas e romance."
276,"Como Vencer o Racismo",Documentário,12,8.0,2022,"Mais de 90 min",EUA,"Um documentário impactante que explora a luta contra o racismo e as formas de superá-lo."
277,"A História da Minha Vida",Romance,12,7.5,2022,"Mais de 90 min",EUA,"A história inspiradora de uma mulher que encontra sua verdadeira vocação em meio a desafios de vida."
278,"A Família Addams 2",Animação,0,5.7,2021,"Mais de 90 min",EUA,"A icônica família Addams retorna com novas aventuras e travessuras no mundo moderno."
279,"Vingadores: Guerra Infinita",Ação,12,8.4,2022,"Mais de 90 min",EUA,"Os Vingadores se reúnem para enfrentar uma ameaça cósmica que pode destruir o universo."
280,"Os Incríveis 2",Animação,0,7.6,2022,"Mais de 90 min",EUA,"A nova aventura dos super-heróis da família P, enfrentando desafios enquanto tentam salvar o dia."
281,"O Bom Mentiroso",Romance,14,6.6,2022,"Mais de 90 min",EUA,"Um mentiroso profissional se envolve em uma rede de enganos e reviravoltas inesperadas."
282,"Killers of the Flower Moon",Romance,14,8.5,2023,"Mais de 90 min",EUA,"Baseado em eventos reais, o filme explora os assassinatos de membros da comunidade Osage nos anos 1920."
283,"A Noite Passada",Terror,16,7.3,2023,"Mais de 90 min",EUA,"Um suspense psicológico que explora os limites da realidade e a natureza humana."
284,"O Mar Vermelho Não Pode Esperar",Ação,12,7.0,2023,"Mais de 90 min",EUA,"Um relato emocionante sobre a luta por justiça em um cenário de conflito e tensão."
285,"O Que Ficou de Nós",Romance,14,6.9,2023,"Mais de 90 min",EUA,"Uma história de amor e sacrifício, explorando as complexidades das relações humanas."
286,"A Última Fronteira",Ação,16,7.1,2023,"Mais de 90 min",EUA,"Uma jornada épica em busca de novos horizontes e desafios desconhecidos."
287,"Godzilla x Kong: A Nova Era",Ação,12,7.0,2024,"Mais de 90 min",EUA,"Godzilla e Kong se unem para enfrentar uma ameaça que pode destruir o mundo."
288,"A Noiva de Frankenstein",Terror,16,6.2,2024,"Mais de 90 min",EUA,"A noiva de Frankenstein renasce em uma nova era, desafiando as expectativas e buscando sua própria identidade."
289,"Fury of the Gods",Ação,12,6.9,2024,"Mais de 90 min",EUA,"As divindades se enfrentam em uma batalha épica para proteger seus mundos."
290,"Aventuras em Nova York",Comédia,10,7.2,2024,"Mais de 90 min",EUA,"Uma comédia leve e divertida sobre as aventuras de um grupo de amigos em Nova York."
291,"The Hunger Games: The Ballad of Songbirds and Snakes",Ação,14,8.0,2024,"Mais de 90 min",EUA,"Um prequel da famosa saga, explorando as origens de Katniss Everdeen e o mundo de Panem."
292,"The Conjuring",Terror,16,7.5,2013,"Mais de 90 min",EUA,"Uma nova história de terror que desafia os limites do medo e do sobrenatural."
293,"Mad Max: Fury Road",Ação,16,8.1,2015,"Mais de 90 min",EUA,"Em um mundo pós-apocalíptico, Max se junta a uma mulher guerreira em uma luta pela sobrevivência."
294,"The Hangover",Comédia,16,7.7,2009,"Mais de 90 min",EUA,"Uma comédia de humor ácido sobre as loucuras de uma noite de festa."
296,"The Exorcist",Terror,18,8.0,1973,"Mais de 90 min",EUA,"Um filme de terror que explora os limites da mente humana e o que se esconde na escuridão."
297,"Die Hard",Ação,16,8.2,1988,"Mais de 90 min",EUA,"Um clássico de ação que segue um policial enquanto ele enfrenta uma gangue de criminosos."
298,Superbad,Comédia,16,7.6,2007,"Mais de 90 min",EUA,"Um grupo de adolescentes se envolve em uma série de eventos hilários durante uma festa."
300,Hereditary,Terror,16,7.3,2018,"Mais de 90 min",EUA,"Um thriller psicológico que explora os efeitos do luto em uma família."
301,"The Dark Knight",Ação,14,9.0,2008,"Mais de 90 min",EUA,"O icônico Batman enfrenta o Coringa em uma batalha épica entre o bem e o mal."
302,"Step Brothers",Comédia,16,6.9,2008,"Mais de 90 min",EUA,"Duas pessoas se tornam amigos improváveis enquanto navegam pela vida em família."
303,"Pride and Prejudice",Romance,12,7.8,2005,"Mais de 90 min","Reino Unido","Uma adaptação da clássica história de amor que atravessa as barreiras do tempo."
304,Scream,Terror,18,7.3,1996,"Mais de 90 min",EUA,"Um slasher que redefine o gênero com uma nova perspectiva sobre o medo."
305,Gladiator,Ação,16,8.5,2000,"Mais de 90 min",EUA,"Um épico de ação que segue um general romano em sua busca por vingança."
306,"The 40-Year-Old Virgin",Comédia,16,7.1,2005,"Mais de 90 min",EUA,"Um homem de 40 anos enfrenta os desafios do amor e da vida enquanto busca a felicidade."
307,"The Notebook",Romance,12,7.8,2004,"Mais de 90 min",EUA,"Um romance que explora o amor verdadeiro e as dificuldades de um relacionamento."
308,"The Shining",Terror,16,8.4,1980,"Mais de 90 min",EUA,"Um clássico de terror que examina os limites da loucura em um hotel isolado."
310,Bridesmaids,Comédia,16,6.8,2011,"Mais de 90 min",EUA,"Um grupo de amigas se reúne para uma festa de casamento, trazendo risadas e lágrimas."
311,"A Walk to Remember",Romance,12,7.4,2002,"Mais de 90 min",EUA,"Uma história de amor inspiradora que nos lembra do poder do amor e da esperança."
312,"Paranormal Activity",Terror,16,6.3,2007,"Mais de 90 min",EUA,"Uma série de eventos sobrenaturais aterrorizam um grupo de amigos em uma casa."
313,"Terminator 2: Judgment Day",Ação,16,8.6,1991,"Mais de 90 min",EUA,"Um robô imortal é enviado de volta no tempo para garantir o futuro da humanidade."
314,"Anchorman: The Legend of Ron Burgundy",Comédia,14,7.2,2004,"Mais de 90 min",EUA,"Uma comédia sobre um repórter de TV que se torna um ícone cultural."
315,Twilight,Romance,12,5.2,2008,"Mais de 90 min",EUA,"Uma jovem se vê em meio a um triângulo amoroso que a leva a questionar suas escolhas."
317,"Casino Royale",Ação,14,8.0,2006,"Mais de 90 min","Reino Unido","Um agente secreto deve impedir que uma organização criminosa execute seus planos malignos."
318,"The Hangover Part II",Comédia,16,6.4,2011,"Mais de 90 min",EUA,"Os amigos retornam para mais confusões em uma sequência cheia de risadas e surpresas."
319,"The Fault in Our Stars",Romance,12,7.7,2014,"Mais de 90 min",EUA,"Uma história emocionante sobre jovens que enfrentam o câncer e a vida."
320,"It Follows",Terror,16,6.8,2014,"Mais de 90 min",EUA,"Um thriller psicológico que explora o que acontece quando você é perseguido por algo sobrenatural."
321,"The Matrix",Ação,16,8.7,1999,"Mais de 90 min",EUA,"Um homem descobre um mundo de realidades alternativas e deve lutar por sua sobrevivência."
322,"Dumb and Dumber",Comédia,14,7.3,1994,"Mais de 90 min",EUA,"Duas pessoas desajeitadas se apaixonam em uma série de eventos hilários."
323,"Pretty Woman",Romance,12,7.0,1990,"Mais de 90 min",EUA,"Um conto de amor e superação que atravessa os tempos."
324,Saw,Terror,18,7.6,2004,"Mais de 90 min",EUA,"Um filme de terror que explora os limites do medo e da violência."
325,"Lethal Weapon",Ação,16,7.6,1987,"Mais de 90 min",EUA,"Um detetive busca a verdade em um mundo de corrupção e crime."
326,"The Wedding Crashers",Comédia,14,7.0,2005,"Mais de 90 min",EUA,"Dois amigos se disfarçam como casamentos para encontrar amor e diversão."
327,"Love Actually",Romance,12,7.6,2003,"Mais de 90 min","Reino Unido","Uma comédia romântica que explora a complexidade das relações."
328,Sinister,Terror,16,6.8,2012,"Mais de 90 min",EUA,"Um thriller de terror psicológico que explora os segredos mais sombrios de uma família."
329,"Kill Bill: Vol. 1",Ação,18,8.2,2003,"Mais de 90 min",EUA,"Uma mulher busca vingança contra aqueles que a traíram, em uma jornada de autodescoberta."
330,"21 Jump Street",Comédia,16,7.2,2012,"Mais de 90 min",EUA,"Um grupo de policiais infiltrados se vê em situações hilárias enquanto tentam resolver crimes."
331,"Me Before You",Romance,12,7.4,2016,"Mais de 90 min","Reino Unido","Um amor inesperado floresce entre duas pessoas com passados difíceis."
332,"The Ring",Terror,16,7.1,2002,"Mais de 90 min",EUA,"Uma mulher se vê presa em um pesadelo quando uma entidade maligna a persegue."
333,"Mission: Impossible - Fallout",Ação,12,7.7,2018,"Mais de 90 min",EUA,"Um agente secreto se envolve em uma missão de alta octanagem para salvar o mundo."
334,"Tropic Thunder",Comédia,16,7.0,2008,"Mais de 90 min",EUA,"Uma comédia de ação sobre um grupo de amigos em uma aventura cômica."
335,"The Holiday",Romance,12,6.9,2006,"Mais de 90 min",EUA,"Um conto de amor e amizade durante as festas de fim de ano."
336,"The Invisible Man",Terror,14,7.1,2020,"Mais de 90 min",EUA,"Uma mulher luta contra uma força invisível que a persegue em sua vida cotidiana."
337,"The Avengers",Ação,12,8.0,2012,"Mais de 90 min",EUA,"Os Vingadores se unem mais uma vez para enfrentar uma nova ameaça à Terra."
339,"The Great Gatsby",Romance,12,7.2,2013,"Mais de 90 min",EUA,"Uma adaptação moderna do clássico romance que explora a decadência da sociedade."
340,"The Purge",Terror,16,5.7,2013,"Mais de 90 min",EUA,"Uma noite de terror onde a sobrevivência é o único objetivo."
341,"Fast & Furious 7",Ação,14,7.1,2015,"Mais de 90 min",EUA,"Uma corrida contra o tempo para impedir uma catástrofe global."
342,"Horrible Bosses",Comédia,16,6.9,2011,"Mais de 90 min",EUA,"Uma comédia sobre as desventuras de um grupo de amigos em situações embaraçosas."
343,"The Shape of Water",Romance,14,7.3,2017,"Mais de 90 min",EUA,"Uma história de amor que transcende as barreiras do tempo e do espaço."
344,"O Exterminador do Futuro",Ação,16,8.1,1984,"Mais de 90 min",EUA,"Um ciborgue assassino, o Exterminador, é enviado do futuro pela Skynet, um sistema de inteligência artificial que se rebelou contra a humanidade. Sua missão é eliminar Sarah Connor, uma jovem que está destinada a ser a mãe de John Connor, o líder da resistência humana na futura guerra contra as máquinas. Enquanto o Exterminador tenta cumprir sua missão, um soldado da resistência, Kyle Reese, também é enviado do futuro para proteger Sarah e garantir que a humanidade tenha uma chance de derrotar a Skynet, antes que ela lance um apocalipse nuclear que dará início à guerra entre homens e máquinas. O destino da humanidade depende da sobrevivência de Sarah e da luta para evitar o surgimento da Skynet."
345,"O Exterminador do Futuro 2: O Julgamento Final",Ação,16,8.6,1991,"Mais de 90 min",EUA,"Um novo ciborgue mais avançado é enviado do futuro para matar John Connor, enquanto o Exterminador original é reprogramado para protegê-lo."
346,"O Exterminador do Futuro 3: A Rebelião das Máquinas",Ação,14,6.3,2003,"Mais de 90 min",EUA,"John Connor, agora adulto, luta contra um novo modelo de Exterminador, enquanto tenta impedir o apocalipse das máquinas."
347,"O Exterminador do Futuro: A Salvação",Ação,14,6.5,2009,"Mais de 90 min",EUA,"A guerra entre humanos e máquinas atinge novos níveis, enquanto John Connor tenta liderar a resistência e descobrir os segredos da Skynet."
348,"O Exterminador do Futuro: Gênesis",Ação,14,6.3,2015,"Mais de 90 min",EUA,"John Connor luta contra uma nova ameaça, enquanto sua mãe, Sarah, se junta a ele para enfrentar novos desafios no futuro alterado."
349,"O Exterminador do Futuro: Destino Sombrio",Ação,14,6.2,2019,"Mais de 90 min",EUA,"Décadas após os eventos de "O Julgamento Final", Sarah Connor e um Exterminador reprogramado retornam para proteger uma jovem que é a chave para o futuro da humanidade."
